domain,counter offset,name,group count,detailed description,flag,record byte offset,record length,primary group index,description
2,32,HPM_0THRD_NON_IDLE_CCYC,1,,0,192,64,3,Count of constant clock transitions when no qualified threads are executing non-idle code
2,32,HPM_1THRD_NON_IDLE_CCYC,1,,0,256,64,4,Count of constant clock transitions when exactly one qualified thread is executing non-idle code
2,24,HPM_1THRD_NON_IDLE_INST,1,,0,256,64,4,Count of instructions when exactly one qualified thread is executing non-idle code
2,32,HPM_2THRD_NON_IDLE_CCYC,1,,0,320,64,5,Count of constant clock transitions when exactly two qualified threads are executing non-idle code
2,24,HPM_2THRD_NON_IDLE_INST,1,,0,320,64,5,Count of instructions when exactly two qualified threads are executing non-idle code
2,32,HPM_32MHZ_CYC,1,,0,128,64,2,Count of 32 MHZ clock transitions. (Time calibration.)
2,32,HPM_3THRD_NON_IDLE_CCYC,1,,0,384,64,6,Count of constant clock transitions when exactly three qualified threads are executing non-idle code
2,24,HPM_3THRD_NON_IDLE_INST,1,,0,384,64,6,Count of instructions when exactly three qualified threads are executing non-idle code
2,32,HPM_4THRD_NON_IDLE_CCYC,1,,0,448,64,7,Count of constant clock transitions when exactly four qualified threads are executing non-idle code
2,24,HPM_4THRD_NON_IDLE_INST,1,,0,448,64,7,Count of instructions when exactly four qualified threads are executing non-idle code
2,32,HPM_5THRD_NON_IDLE_CCYC,1,,0,512,64,8,Count of constant clock transitions when exactly five qualified threads are executing non-idle code
2,24,HPM_5THRD_NON_IDLE_INST,1,,0,512,64,8,Count of instructions when exactly five qualified threads are executing non-idle code
2,32,HPM_6THRD_NON_IDLE_CCYC,1,,0,576,64,9,Count of constant clock transitions when exactly six qualified threads are executing non-idle code
2,24,HPM_6THRD_NON_IDLE_INST,1,,0,576,64,9,Count of instructions when exactly six qualified threads are executing non-idle code
2,32,HPM_7THRD_NON_IDLE_CCYC,1,,0,640,64,10,Count of constant clock transitions when exactly seven qualified threads are executing non-idle code
2,24,HPM_7THRD_NON_IDLE_INST,1,,0,640,64,10,Count of instructions when exactly seven qualified threads are executing non-idle code
2,32,HPM_8THRD_NON_IDLE_CCYC,1,,0,704,64,11,Count of constant clock transitions when exactly eight qualified threads are executing non-idle code
2,24,HPM_8THRD_NON_IDLE_INST,1,,0,704,64,11,Count of instructions when exactly eight qualified threads are executing non-idle code
2,24,HPM_ANY_THRD_NON_IDLE_PCYC,1,,0,64,64,1,Count of processor cycles when any (logical OR) qualified thread is non-idle
2,32,HPM_BUS_PUMP_CHIP_CORRECT_PRED,1,,0,1024,64,16,001 Total Chip| correct pred
2,24,HPM_BUS_PUMP_GROUP_CORRECT_PRED,1,,0,1024,64,16,010 Total Group| correct pred
2,32,HPM_BUS_PUMP_GROUP_TOO_LARGE,1,,0,1088,64,17,101 Total Group| too large
2,24,HPM_BUS_PUMP_GROUP_TOO_SMALL,1,,0,1088,64,17,100 Total Group| too small
2,32,HPM_BUS_PUMP_NON_FABRIC_OP,1,,0,960,64,15,000 Total Non-Fabric op
2,24,HPM_BUS_PUMP_SYSTEM_CORRECT_PRED,1,,0,960,64,15,011 Total System| correct pred
2,32,HPM_BUS_PUMP_SYSTEM_TOO_LARGE,1,,0,1152,64,18,111 Total System| too large
2,24,HPM_BUS_PUMP_SYSTEM_TOO_SMALL,1,,0,1152,64,18,110 Total System| too small
