domain,name,schema index,event group length,flag,event count,event group offset,event indexes,description
2,HPM_0THRD_NON_IDLE_CCYC,0,64,0,4,192,"(65535, 0, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_1THRD_NON_IDLE_CCYC,0,64,0,4,256,"(2, 1, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_2THRD_NON_IDLE_CCYC,0,64,0,4,320,"(4, 3, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_32MHZ_CYC,0,64,0,4,128,"(27, 5, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_3THRD_NON_IDLE_CCYC,0,64,0,4,384,"(7, 6, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_4THRD_NON_IDLE_CCYC,0,64,0,4,448,"(9, 8, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_5THRD_NON_IDLE_CCYC,0,64,0,4,512,"(11, 10, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_6THRD_NON_IDLE_CCYC,0,64,0,4,576,"(13, 12, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_7THRD_NON_IDLE_CCYC,0,64,0,4,640,"(15, 14, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_8THRD_NON_IDLE_CCYC,0,64,0,4,704,"(17, 16, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_ANY_THRD_NON_IDLE_PCYC,0,64,0,4,64,"(18, 28, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_BUS_PUMP_CHIP_CORRECT_PRED,0,64,0,4,1024,"(20, 19, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_BUS_PUMP_GROUP_TOO_LARGE,0,64,0,4,1088,"(22, 21, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
